10307	10040	10314	10017	10474	11238	11225	10044	10475	11215	11230	11385	10470	10451	11229	10465	11419	11219	11697	10027	11203	10018	11234	11416	11231	10037	11379	10472	11415	11378	10033	10305	10002	11104	11233	10031	10467	11364	10455	11103	10004	11429	10030	11354	11210	11694	11414	10303	11211	11221	10036	10011	10464	11220	11237	11216	10029	11422	10461	10312	11223	10452	10021	10010	11420	11213	11374	10032	10013	11360	11235	10459	10022	10009	10471	10473	11428	10039	10456	10457	11236	10007	10025	10460	10069	11224	11358	10282	11369	11212	10006	11436	11361	11363	10026	10012	11205	11201	11208	10016	11102	11426	11232	11209	11432	11691	11204	10023	10301	11435	11417	11214	11375	10469	10005	11105	10462	10019	11218	10308	11228	10453	10028	11222	11365	10128	11423	11421	10304	10024	11692	10302	11377	11418	10463	10014	10034	10001	10003	10310	11366	11106	11357	11372	11356	11413	10306	11412	11368	10309	11693	11411	10458	11226	11004	11206	11433	11367	11370	11373	11427	11217	10454	11239	10035	11101	11362	10466	11207	10280	10038	11434	11355	10468
10312	11225	11414	11429	10044	11379	10470	10017	10009	11375	10032	10452	11223	11219	11697	11420	10005	11104	10040	11210	10069	10303	11385	11694	11363	10036	11229	11220	11215	11214	10027	10025	11416	11105	11692	10305	10474	10037	10018	11224	11231	10002	10314	11235	11228	11364	10010	11234	11378	10307	11103	10006	11211	11205	10016	10464	10460	11201	10301	10282	10029	10030	11237	11232	10451	11422	10014	11419	10004	11216	11230	10475	10465	11357	11435	10471	11233	10467	10459	11204	11203	10128	10028	10022	10456	11377	11415	10007	11238	10472	11436	10308	10033	11428	10455	11106	11358	11212	11361	11209	11208	10023	11221	11354	10011	10302	11102	11691	11432	11417	10012	10019	10021	10306	10462	11374	11421	10039	10013	11360	10457	11236	11411	10473	10001	10304	11213	10031	10463	11433	11226	10034	10469	11367	10310	11366	11426	10461	10453	11412	11356	10026	11693	10309	11222	11365	11368	10024	11218	10458	11423	11413	11418	11369	11370	11373	10003	11372	10454	11217	11427	11362	11239	11206	10466	11004	10035	11207	11101	10280	10038	11434	11355	10468
10301	11436	11106	10029	11220	10464	10016	10471	10027	11214	10308	10007	10459	11215	11385	11211	11210	11435	11205	11417	11212	11422	11361	10002	11379	11201	10006	11104	11370	11221	11692	11224	10023	11373	11208	10305	10025	11102	11375	11364	11416	11415	10010	11691	11238	10018	11213	11233	11377	10467	11235	10472	11223	11103	11413	10022	11234	10304	10005	11421	11414	10028	10039	11374	11228	10457	10462	10044	11360	11419	10040	10306	11411	10036	10312	11694	11232	10303	10451	11363	10473	10014	11412	11229	10030	10475	10302	11237	10465	10455	10034	10011	11216	11354	10461	10463	11357	11432	11105	10017	11358	11226	11219	11428	10453	11356	11209	11697	10032	10307	10310	11204	10474	10033	10037	11420	11366	11367	11418	10019	10013	11203	10001	11231	11429	11225	10456	10469	10282	11368	10031	11230	10021	11222	11362	10460	11218	11423	10004	11365	10026	10309	11207	10024	10470	10009	11369	10128	10452	10035	11433	11426	10314	11372	11101	11378	10069	11236	10454	11206	11427	10458	11239	11217	10466	10012	11004	10003	10280	11693	10038	11434	11355	10468
10304	11361	10471	10007	10457	10039	11421	10302	11208	11435	11212	11221	10029	11422	10006	10455	10011	11203	10461	10023	11417	10018	10037	11416	10002	11374	10028	10027	11228	10462	11368	10022	10013	11360	10459	10473	11222	11213	11218	10036	11210	11692	11423	10308	10306	11237	11432	11224	11694	10464	10463	11201	11220	10016	10303	10030	11215	11418	10475	11354	11211	11367	11205	11357	10465	11412	11436	10010	10452	11204	10032	10474	10034	11223	11369	11209	11214	11235	10458	10472	10305	11379	11415	10128	10301	11411	11238	10033	11206	10309	11356	10021	11377	11428	11364	11414	10460	11358	10044	10282	11232	10454	11217	11429	10031	10310	11385	10040	11216	10001	11433	11691	11230	10004	10014	10451	11102	11229	11363	11426	10026	11419	11106	11375	11219	11697	10017	10314	11105	10009	11420	11234	11236	11231	10469	10456	11233	10453	11104	10019	10012	10307	11413	11373	11427	10467	11365	10466	10005	10025	10069	11239	11225	11103	10024	11226	11004	11366	10470	10003	11372	10312	11370	11378	10035	10280	11362	11101	11693	11207	10038	11434	11355	10468
11209	11208	11417	11203	10028	11364	10013	10473	10459	10039	11212	11224	11361	11357	10465	11214	11205	11237	10006	10034	11435	10469	10023	11367	10474	11416	10018	10027	11233	10037	11692	11238	10471	10002	11368	10304	11228	11377	10462	11421	11213	10457	11360	10308	11235	11104	10303	10007	10306	11210	11363	11354	10309	10040	11206	11201	10454	11230	11385	11232	10011	10036	10012	10455	11105	11220	11419	11369	11221	11436	10461	10128	10314	10021	10016	10029	10464	11432	11102	11106	10475	11223	10310	11422	11420	11372	11379	10307	11234	10301	11356	10305	11378	11373	11428	11412	11429	11231	11414	10031	11374	10033	11365	11415	10022	10453	11427	10302	11694	10044	10014	11222	11236	11211	11218	10456	11411	11423	10024	11358	10312	10004	11413	11103	10463	10026	10030	11216	11418	10452	10009	10451	11375	11215	10032	11204	10017	11219	11433	10010	11697	11691	11426	11366	10472	11225	10460	10467	10282	10025	10470	10001	10458	11229	11239	11217	11004	10005	10003	10466	11226	10069	10280	11362	10019	10035	11370	11207	11101	11693	10038	11434	11355	10468
10280	11427	11206	10306	10454	11433	11412	10028	10462	11368	11435	11218	10014	11411	10309	11217	11373	10023	10466	11106	10016	10463	11366	11208	11205	11361	11417	10024	11212	11358	11692	11224	10006	10007	11102	10456	11367	10310	11369	11421	10471	11228	11436	10459	11209	10453	10301	10304	11418	11413	11235	10458	11423	11422	11362	11374	11360	11213	10039	10029	10035	11365	11357	11237	10473	10308	11201	11220	11377	11432	10002	11214	10464	10011	11103	11426	11691	10034	11221	10469	10010	10455	10037	11204	11364	10018	11416	11372	10027	11203	11415	11223	10472	10022	11207	10303	11239	10036	10457	10302	10460	11385	10013	11370	10467	11363	11215	11236	11356	11694	11210	11230	10009	11226	11222	10451	11211	10031	10475	10030	11232	11101	10305	10465	11104	10461	11379	11105	11354	11219	10032	11375	11238	11004	11420	10001	10474	10033	10019	10128	11429	10003	11428	11234	11233	11414	11231	10026	11419	10044	11229	10312	10040	10025	10004	11216	10017	10005	11697	10452	10012	10021	10314	11378	11225	10307	10282	10470	11693	10069	10038	11434	11355	10468
10004	10475	10022	11428	11225	10455	11429	11221	11432	11422	10470	10307	10017	10027	11416	10018	10471	11421	10128	11374	10013	11231	10037	11378	10305	11235	11415	11238	10002	10456	10033	11224	10026	10001	10303	11212	11354	11210	11216	10044	10006	11361	11211	11205	10040	11385	11229	11358	10302	10036	11215	11237	10030	10011	10451	10465	10464	10029	11232	11419	11436	10461	10023	11223	11214	11356	11219	10032	11105	10314	11203	10312	11697	10474	11204	11228	10473	10453	10308	11234	10472	11368	11222	11379	11233	10459	10039	10005	10010	10007	11218	10304	11364	11377	11213	11104	10467	10019	10025	10031	11414	10282	11103	10460	11694	11208	11369	11363	11201	11357	10034	10310	10003	11220	10016	11372	11691	11102	11230	11426	10012	11435	11209	11417	11375	10469	10452	11420	10462	10301	10009	11412	10306	10021	11360	11236	10028	10457	11692	11693	11411	10458	11423	10069	11004	11226	10463	11433	11106	10014	11367	11370	11413	11217	10309	11365	10024	11427	10466	11239	11206	11418	11362	11366	11101	11373	10454	10035	11207	10280	10038	11434	11355	10468
11224	10006	11235	10037	11228	11363	11417	11422	10475	10455	10036	11361	11205	11212	11208	11214	10023	11357	11237	11435	11692	11416	10459	11223	10027	10018	10039	11364	10471	11104	10022	11231	10002	10456	11203	10474	11377	11209	10306	10308	11421	11436	10007	10473	10304	10013	10028	11358	11429	10301	10303	11210	10004	10044	10040	10016	10464	11215	11385	11694	11232	11220	11432	11221	10029	11230	10312	10030	10011	10034	10465	11433	10012	11375	11367	10452	10032	11379	11219	10009	11204	11105	10469	11356	10017	11697	10025	11415	11233	11420	11238	10462	10305	11222	10314	10128	11374	10033	11106	11360	10307	11378	10457	11368	10458	11234	11411	11236	11103	11218	10302	11414	11225	10309	11213	11428	10460	11413	11211	10463	11373	11354	11201	11419	10451	10014	11229	11412	10021	11216	10461	11102	11369	11426	11691	10470	10310	10453	10005	10467	10010	11226	11418	10454	10472	10001	11206	10069	11423	10466	10282	10026	10024	11217	11370	11427	10031	11366	11372	10019	10035	11365	10280	11362	11239	11004	10003	11207	11693	11101	10038	11434	11355	10468
11220	10464	10016	11215	10029	11385	11435	10010	10018	11416	11223	10027	11379	10007	10028	10305	10471	11692	10472	10459	10002	10301	11414	11201	11694	11364	11221	11210	10006	10044	10308	10303	11237	11691	10040	11208	11103	11205	10451	11102	11229	11361	11212	11211	11417	11106	10014	11216	10011	11375	10032	11422	11697	10017	11436	11219	11228	10457	10037	10465	10462	10039	11214	10023	10312	10474	10022	11360	11235	11105	11420	11203	11231	11374	11415	11234	10306	11421	10304	11411	10473	10033	11238	11104	10307	11233	10460	10463	11213	11225	11224	10036	11432	10455	11429	10030	10467	11354	11367	11366	11232	10302	11419	11377	11363	10310	10475	10031	11357	10470	10461	11230	11204	10452	11412	11209	10034	10314	10309	10009	11222	11378	11218	11365	10013	10019	11368	10453	10456	10005	11356	11423	11418	10025	10069	10024	10282	10001	11428	11433	10026	11426	11358	10004	11372	11369	11236	10466	10458	11370	11239	11413	11373	10021	10454	11206	10128	11427	11226	10469	11217	11004	10003	11362	10012	11693	11207	10035	11101	10280	11434	10038	11355	10468
11231	11237	10475	11385	11223	10018	11416	10017	10037	11235	11378	10307	10002	10033	10456	11224	11364	11225	10455	10006	11429	10044	11103	11221	10303	11220	10040	11212	10004	10464	11357	11215	10451	11205	11229	11232	11435	10470	11436	10011	10023	11422	10465	10312	10032	11214	11219	11697	11228	11374	10027	10474	10314	11105	11203	10022	11234	10471	11420	11415	10028	11379	10459	10473	10472	10305	11692	11238	10308	11104	11233	11414	10467	11210	11694	11428	10030	11208	10036	11433	10016	10031	11361	11102	11354	11432	11216	11377	11358	11211	11691	11363	10029	11419	11230	11417	10012	11375	10452	11209	10461	10010	11218	11236	10039	10306	10009	10301	11222	10007	10019	11356	10304	10013	11411	11421	10453	11213	10469	10128	10025	10069	10460	10026	10282	11201	10302	10001	10310	10014	11426	11369	11367	11372	11106	10034	10462	11204	11370	10457	11360	10005	11368	10309	10021	11427	10458	11413	11217	11423	11693	10463	10024	10003	11226	11366	11362	11412	11365	10466	11373	10454	11206	11004	11418	10035	11101	11239	11207	10280	11434	10038	11355	10468
